Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments,
Tyne & Wear Archives & Museums,NPO,"£3,793,865","£3,863,672","£3,357,648",Museums,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,"In 2018-22, Tyne & Waer Archives Museums were a Museum Development provider, and also funded as an NPO and a Bridge.",
UD,NPO,"£150,870","£153,646","£329,337",Music,London,London,West Ham,Newham,Non-LUCP,Priority place,,
UK Storyhouse Ltd,NPO,"£223,895","£228,015","£228,015",Combined arts,North,North West,City of Chester,Cheshire West and Chester,Non-LUCP,Non-Priority place,,
Unanima Theatre,NPO,£0,£0,"£232,000",Theatre,Midlands,East Midlands,Mansfield,Mansfield,LUCP,Priority place,,
Unfolding Theatre,NPO,"£105,000","£106,932","£106,932",Theatre,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
Unicorn Theatre London Ltd,NPO,"£1,303,884","£1,327,875","£1,327,875",Theatre,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Unity Theatre,NPO,"£272,000","£277,005","£277,005",Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
University of Cambridge Museums,NPO,"£1,212,754","£1,235,069","£617,534",Museums,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
University of Derby Theatre limited,NPO,"£795,000","£809,628","£809,628",Theatre,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
"University of Leicester, Attenborough Arts Centre",NPO,"£207,000","£210,809","£210,800",Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
University of Oxford,NPO,"£1,316,938","£1,341,170","£1,341,170",Museums,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
University of the Arts London (trading as Artquest),IPSO,"£125,054","£127,355","£127,355",Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
University of Warwick,NPO,"£492,114","£501,169","£501,168",Combined arts,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,,
UP Projects,NPO,"£100,580","£102,431","£102,431",Visual arts,London,London,"Enfield, Southgate",Enfield,Non-LUCP,Priority place,,
Upswing Aerial Limited,NPO (Transfer),"£115,667","£117,795","£216,095",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Utopia Theatre Limited,NPO,£0,£0,"£300,000",Theatre,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Vamos Theatre Company,NPO,"£200,000","£203,680","£203,680",Theatre,Midlands,West Midlands,Worcester,Worcester,Non-LUCP,Non-Priority place,,
Vane Contemporary Art Limited,NPO,"£60,406","£61,517","£61,517",Visual arts,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,,
Ventnor Exchange,NPO,£0,£0,"£130,000",Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,,
Venture Arts,NPO,"£105,000","£106,932","£106,932",Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Vincent Dance Theatre,NPO,"£249,999","£254,599","£254,599",Dance,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Vital Xposure,NPO,"£100,580","£102,431","£192,431",Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Viva Chamber Orchestra Ltd,NPO,"£192,107","£195,642","£195,642",Music,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
Vivid Projects,NPO,"£74,500","£75,871","£75,871",Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
VocalEyes,IPSO,"£223,811","£227,929","£227,929",Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Wakefield Council – Museums,NPO,"£205,000","£208,772","£208,772",Museums,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,,
Walk The Plank,NPO,"£145,657","£148,337","£148,337",Combined arts,North,North West,Salford and Eccles,Salford,Non-LUCP,Non-Priority place,,
Walsall Council,NPO,"£881,487","£897,706","£938,152",Visual arts,Midlands,West Midlands,Walsall South,Walsall,LUCP,Priority place,,
Warwickshire Libraries,NPO,£0,£0,"£210,000",Libraries,Midlands,West Midlands,Nuneaton,Nuneaton and Bedworth,LUCP,Priority place,,
Wasafiri Ltd,NPO,"£59,413","£60,506","£60,506",Literature,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Watershed Arts Trust Ltd,NPO,"£744,289","£757,984","£757,984",Combined arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Wavendon Allmusic Plan Ltd,NPO,"£379,223","£386,201","£386,201",Music,South East,South East,Milton Keynes South,Milton Keynes,Non-LUCP,Non-Priority place,,
We Are Unlimited Arts,NPO,£0,£0,"£1,000,000",Not discipline specific,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,,
Welsh National Opera,NPO,"£6,123,000","£6,235,663","£4,000,000",Music,Midlands,Wales,Cardiff South and Penarth,Cardiff,Non-LUCP,Non-Priority place,,
Wessex Museums Trust,NPO,"£319,500","£325,379","£435,379",Museums,South West,South West,Poole,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,,
West Northamptonshire Council,NPO,£0,£0,"£150,000",Museums,Midlands,East Midlands,Northampton South,West Northamptonshire,Non-LUCP,Non-Priority place,,
West Yorkshire Print Workshop,NPO,"£54,366","£55,366","£100,000",Visual arts,North,Yorkshire and The Humber,Dewsbury,Kirklees,LUCP,Priority place,,
Whitaker Museum & Art Gallery,NPO,£0,£0,"£159,933",Museums,North,North West,Rossendale and Darwen,Rossendale,LUCP,Non-Priority place,,
Whitechapel Gallery,NPO,"£1,510,168","£1,537,955","£1,437,955",Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Wild Rumpus,NPO,£0,£0,"£160,000",Combined arts,North,North West,Congleton,Cheshire East,Non-LUCP,Non-Priority place,,
Wiltshire Creative,NPO,"£1,277,944","£1,301,458","£1,301,458",Theatre,South West,South West,Salisbury,Wiltshire,Non-LUCP,Non-Priority place,,
Wiltshire Music Centre Trust Ltd,NPO,"£101,675","£103,546","£103,546",Music,South West,South West,Chippenham,Wiltshire,Non-LUCP,Non-Priority place,,
Wise Children,NPO,"£475,000","£483,740","£483,000",Theatre,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Without Walls,NPO,"£1,200,000","£1,222,080","£1,222,080",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Wolverhampton City Council,NPO,"£167,755","£170,842","£270,842",Visual arts,Midlands,West Midlands,Wolverhampton North East,Wolverhampton,LUCP,Priority place,,
Women & Theatre,NPO,£0,£0,"£121,677",Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
Woodhorn Charitable Trust,NPO,"£200,000","£203,680","£346,680",Museums,North,North East,Wansbeck,Northumberland,LUCP,Non-Priority place,,
Wordsmith MCR,NPO,£0,£0,"£250,000",Literature,North,North West,Stretford and Urmston,Trafford,Non-LUCP,Non-Priority place,,
World Heart Beat Music Academy,NPO,"£85,000","£86,564","£86,564",Music,London,London,Putney,Wandsworth,Non-LUCP,Non-Priority place,,
Writing East Midlands,NPO,"£125,725","£128,038","£198,038",Literature,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
Writing on the Wall,NPO,"£76,661","£78,072","£78,072",Literature,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Writing Our Legacy,NPO,£0,£0,"£80,000",Literature,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Writing West Midlands,NPO,"£181,044","£184,375","£184,375",Literature,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Wysing Arts Centre,NPO,"£456,768","£465,173","£465,173",Visual arts,South East,East of England,South Cambridgeshire,South Cambridgeshire,Non-LUCP,Non-Priority place,,
Yaram Arts CIC,NPO,"£79,900","£81,370","£120,358",Music,London,London,West Ham,Newham,Non-LUCP,Priority place,,
York Citizens' Theatre Trust,NPO,"£587,254","£598,059","£598,059",Theatre,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,,
York Museums Trust,NPO,"£1,568,982","£1,597,851","£1,252,632",Museums,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,"In 2018-22, York Museums Trust was funded as a Museum Development provider and an NPO.",
Yorkshire Artspace Society Ltd,NPO,"£71,870","£73,192","£73,192",Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Yorkshire Dance Centre Trust,NPO,"£325,794","£331,789","£331,789",Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Yorkshire Sculpture Park,NPO,"£1,312,646","£1,336,799","£1,336,799",Visual arts,North,Yorkshire and The Humber,Wakefield,Wakefield,Non-LUCP,Non-Priority place,,
Young Vic Company,NPO,"£1,760,143","£1,792,530","£1,792,530",Theatre,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Your Trust,NPO,£0,£0,"£325,000",Combined arts,North,North West,Heywood and Middleton,Rochdale,LUCP,Priority place,,
Z-arts,NPO,"£255,000","£259,692","£401,853",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
zerOclassikal,NPO,£0,£0,"£75,000",Music,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,,
Zest Theatre,NPO,£0,£0,"£180,000",Theatre,Midlands,East Midlands,Lincoln,Lincoln,Non-LUCP,Non-Priority place,,
ZoieLogic Dance Theatre,NPO,"£195,300","£213,864","£213,864",Dance,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,,
Zoo Co Creative LTD,NPO,£0,£0,"£200,000",Theatre,London,London,Croydon North,Croydon,Non-LUCP,Priority place,,
ZooNation: The Kate Prince Company Ltd,NPO,"£249,999","£254,599","£254,599",Dance,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
